Perfumer Name,Perfume Name,Perfume Link,Type,Year
Aaron Terence Hughes,ATH x FM Smoulder,https://www.fragrantica.com/perfume/Aaron-Terence-Hughes/ATH-x-FM-Smoulder-84721.html,unisex,2021
Aaron Terence Hughes,Athena,https://www.fragrantica.com/perfume/Aaron-Terence-Hughes/Athena-58433.html,unisex,2019
Aaron Terence Hughes,Blood Orange,https://www.fragrantica.com/perfume/Aaron-Terence-Hughes/Blood-Orange-58430.html,unisex,2019
Aaron Terence Hughes,Carbon,https://www.fragrantica.com/perfume/Aaron-Terence-Hughes/Carbon-76851.html,unisex, 
Aaron Terence Hughes,Cedarwood and Bergamot,https://www.fragrantica.com/perfume/Aaron-Terence-Hughes/Cedarwood-and-Bergamot-58432.html,unisex,2019
Aaron Terence Hughes,"Chocolate, Rose & Oud",https://www.fragrantica.com/perfume/Aaron-Terence-Hughes/Chocolate-Rose-Oud-58429.html,unisex,2019
Aaron Terence Hughes,Filth,https://www.fragrantica.com/perfume/Aaron-Terence-Hughes/Filth-59408.html,unisex,2020
Aaron Terence Hughes,Filth XXL,https://www.fragrantica.com/perfume/Aaron-Terence-Hughes/Filth-XXL-59409.html,unisex,2020
